epoch,loss
0,0.005877
0,0.006831
1,0.001661
2,0.001504
3,0.001617
4,0.001703
5,0.001520
6,0.001567
7,0.001542
8,0.001421
9,0.001447
10,0.001272
11,0.001347
12,0.001282
13,0.001216
14,0.001201
15,0.001254
16,0.001124
17,0.001194
18,0.001225
19,0.001131
20,0.001146
21,0.001128
22,0.001099
23,0.001145
24,0.001067
25,0.001111
26,0.001043
27,0.001076
28,0.001064
29,0.001051
30,0.001030
31,0.000945
32,0.000976
33,0.000996
34,0.000951
35,0.000991
36,0.001032
37,0.000971
38,0.000961
39,0.000956
40,0.000950
41,0.000948
42,0.000951
43,0.000893
44,0.000959
45,0.000972
46,0.000954
47,0.000879
48,0.000958
49,0.000916
50,0.000930
51,0.000884
52,0.000949
53,0.000903
54,0.000944
55,0.000920
56,0.000913
57,0.000907
58,0.000865
59,0.000899
60,0.000881
