key,category,model_id,cd_pred,cd_noisy,cd_score,p2s_pred,p2s_noisy,p2s_score
02691156/14c954d5d3c8e954b6b87e72ead132ed,02691156,14c954d5d3c8e954b6b87e72ead132ed,4.683134971154081e-05,0.00013988507005240693,66.52155251879577,8.603438800491858e-06,9.314901399193332e-05,90.7637897259579
02691156/1d4f988b009edadf54a2210c7b2aa25,02691156,1d4f988b009edadf54a2210c7b2aa25,5.911283585232845e-05,0.000157903503800747,62.56394922881452,7.641211595910136e-06,9.280080848839134e-05,91.76600751612418
02691156/47006ce926cd5519b3f2b01de37c0b29,02691156,47006ce926cd5519b3f2b01de37c0b29,9.3777039310979e-05,0.00033108995648570256,71.67626577792959,4.325692498241551e-05,0.00027672783471643925,84.36842284884695
02691156/5678fc24603d25cb74745e8fbb11e3df,02691156,5678fc24603d25cb74745e8fbb11e3df,3.167893551482999e-05,6.035989763251161e-05,47.516585088164916,4.802232524525607e-06,3.020299664058257e-05,84.10014548664672
02691156/845364350601ca0cbdf0b44e2f8f4e6d,02691156,845364350601ca0cbdf0b44e2f8f4e6d,8.948142162488418e-05,0.00030902707588248505,71.0441483584074,3.8117359508760273e-05,0.000250269629759714,84.76948259948398
02691156/8b0d9118e9e7dc3f95c9af648ce95367,02691156,8b0d9118e9e7dc3f95c9af648ce95367,5.635745102009929e-05,0.00014289152856609153,60.55927766632274,7.546484539489029e-06,8.297322347061709e-05,90.9049157983341
02871439/a98efeb82eabc760defc4117d86acef0,02871439,a98efeb82eabc760defc4117d86acef0,0.0001369126226580082,0.00027280038188296445,49.81215872463631,1.136038736149203e-05,0.0001251090579899028,90.91961242134131
03642806/df624231ef05b83d54c7ab6aa5674ccc,03642806,df624231ef05b83d54c7ab6aa5674ccc,0.00011895771793075293,0.00034784723826355806,65.80173569162547,3.580550765036605e-05,0.000258212152402848,86.13329879435561
04256520/61d93b7c3e83541c81dff5c2e57ad46e,04256520,61d93b7c3e83541c81dff5c2e57ad46e,7.192245343769561e-05,0.0002707503611048258,73.43587903476532,1.3751784535998013e-05,0.0001922856317833066,92.84825163042063
04256520/946ab73b9f05a85ad5b24cafb84903c7,04256520,946ab73b9f05a85ad5b24cafb84903c7,8.78115726481081e-05,0.00038502670720055496,77.1933813925359,1.867924765974749e-05,0.0002881926775444299,93.51848637553681
04256520/ef05b57542cbf151e7e684d25d4dcaf0,04256520,ef05b57542cbf151e7e684d25d4dcaf0,0.0001293802688901796,0.00034774584189471925,62.7945892364258,2.3447175408364274e-05,0.00021663407096639276,89.17659844374077
04379243/114377fc17eceaae3e12d7ebda60f8f,04379243,114377fc17eceaae3e12d7ebda60f8f,8.492327063353225e-05,0.00036281564397376906,76.59327208071764,9.243308340955991e-06,0.0002541370631661266,96.36286489432132
04379243/38b5da2eb70009d6c045ebb62fca20c6,04379243,38b5da2eb70009d6c045ebb62fca20c6,6.602097247452465e-05,0.0001576893323296818,58.13225187833613,8.325756425620057e-06,8.953989163273945e-05,90.70162329459887
04379243/3f756d8d35b51ad629e4b5aa807bb4e7,04379243,3f756d8d35b51ad629e4b5aa807bb4e7,0.0001440897950918809,0.0002033886298685154,29.155432540633864,2.3231761588249356e-05,8.37675470393151e-05,72.26639383704783
04379243/47008a5646d3d84d85969b141e43f51,04379243,47008a5646d3d84d85969b141e43f51,4.951705844448274e-05,8.311276918623345e-05,40.42184019458156,3.930254024453461e-06,3.0144325137371197e-05,86.96187754563144
04379243/4afbcdeba648df2e19fb4103277a6b93,04379243,4afbcdeba648df2e19fb4103277a6b93,5.445035043456293e-05,8.703562154835373e-05,37.43900547167075,3.6449091567192227e-06,2.8360414944472723e-05,87.14789905628798
04379243/6ec67ee0e57282c01e6058fbce2703bb,04379243,6ec67ee0e57282c01e6058fbce2703bb,9.368171192789096e-05,0.00015298422406425326,38.763808816950494,9.86799113888992e-06,5.907454396947287e-05,83.29569646108608
04379243/741b91f2187d54792d4fd2b0f2040d45,04379243,741b91f2187d54792d4fd2b0f2040d45,3.790115298179788e-05,0.00013739039307893373,72.41353479495261,7.357942649832694e-06,9.660274372436106e-05,92.38329847977477
04379243/795baddfac35711a30e44a4c4faa2773,04379243,795baddfac35711a30e44a4c4faa2773,0.00010430715785680178,0.00033054488229800804,68.44387451058401,1.825309118430596e-05,0.00022198395163286477,91.77729243486286
04379243/91dbfe4dac593d3e35836c728d324152,04379243,91dbfe4dac593d3e35836c728d324152,4.248829408165419e-05,8.347643951526359e-05,49.10145386125957,3.89030174119398e-06,3.7331665225792676e-05,89.57908328582636
04379243/93e81005c19a74b8664b3b9b23ddfcbc,04379243,93e81005c19a74b8664b3b9b23ddfcbc,8.931873548367582e-05,0.0002261150217511428,60.49853972905079,1.2885518117400352e-05,0.00012966433132532984,90.0624034492027
